#######################################################################
#                                                                     #
# WGS84 positions of SKA1 LOW Field Stations taken from Table 10-1    #
# of SKA1-LOW Configuration Coordinates - Complete Set                #
# (SKA-TEL-SKO-0000422 Revision 04)                                   #
#                                                                     #
# Columns: Station ID, Label, Longitude, Latitude                     #
#                                                                     #
#######################################################################
166 C166 116.765469 -26.820938
167 C167 116.766143 -26.827722
168 C168 116.760602 -26.823585
169 C169 116.768253 -26.826092
170 C170 116.760463 -26.823188
171 C171 116.766447 -26.827991
172 C172 116.766017 -26.828197
173 C173 116.764573 -26.829054
174 C174 116.767531 -26.827229
175 C175 116.762459 -26.821027
176 C176 116.760885 -26.822652
177 C177 116.763287 -26.828461
178 C178 116.760735 -26.824899
179 C179 116.764477 -26.820875
180 C180 116.768169 -26.823369
181 C181 116.76823 -26.824059
182 C182 116.760942 -26.823259
183 C183 116.767109 -26.821104
184 C184 116.762016 -26.828384
185 C185 116.761514 -26.827145
186 C186 116.760678 -26.824086
187 C187 116.768389 -26.825627
188 C188 116.768778 -26.8247
189 C189 116.768557 -26.823208
190 C190 116.76908 -26.824058
191 C191 116.764935 -26.828164
192 C192 116.761052 -26.827534
193 C193 116.763606 -26.820649
194 C194 116.76198 -26.827741
195 C195 116.766841 -26.821405
196 C196 116.767436 -26.821994
197 C197 116.764553 -26.827984
198 C198 116.768797 -26.825314
199 C199 116.760577 -26.822271
200 C200 116.767322 -26.825361
201 C201 116.763258 -26.82895
202 C202 116.763604 -26.828026
203 C203 116.75975 -26.824688
204 C204 116.765413 -26.828909
205 C205 116.760369 -26.824566
206 C206 116.765508 -26.828113
207 C207 116.766176 -26.820395
208 C208 116.765702 -26.820248
209 C209 116.766237 -26.820941
210 C210 116.765836 -26.821149
211 C211 116.765845 -26.820663
212 C212 116.767078 -26.820713
213 C213 116.759464 -26.82552
214 C214 116.760274 -26.82554
215 C215 116.7596 -26.825051
216 C216 116.759402 -26.826015
217 C217 116.759086 -26.82573
218 C218 116.759951 -26.825285
219 C219 116.768109 -26.82826
220 C220 116.767684 -26.828047
221 C221 116.767742 -26.827574
222 C222 116.767327 -26.828267
223 C223 116.768055 -26.827829
224 C224 116.767224 -26.827883
225 E1-1 116.762526 -26.819528
226 E1-2 116.762079 -26.8193
227 E1-3 116.762495 -26.819055
228 E1-4 116.761803 -26.819012
229 E1-5 116.762788 -26.818756
230 E1-6 116.762123 -26.818445
231 E2-1 116.7566 -26.820537
232 E2-2 116.756097 -26.820188
233 E2-3 116.757392 -26.820047
234 E2-4 116.756719 -26.820035
235 E2-5 116.756218 -26.819719
236 E2-6 116.757038 -26.819671
237 E3-1 116.751387 -26.825916
238 E3-2 116.751835 -26.82586
239 E3-3 116.750895 -26.825564
240 E3-4 116.751747 -26.825427
241 E3-5 116.751313 -26.825378
242 E3-6 116.751435 -26.825014
243 E4-1 116.750275 -26.835686
244 E4-2 116.750735 -26.835593
245 E4-3 116.750785 -26.835167
246 E4-4 116.751243 -26.835087
247 E4-5 116.750124 -26.834984
248 E4-6 116.750492 -26.834565
249 N1-1 116.759536 -26.829622
250 N1-2 116.76015 -26.829629
251 N1-3 116.760572 -26.829512
252 N1-4 116.759919 -26.829299
253 N1-5 116.760329 -26.829193
254 N1-6 116.759644 -26.828834
255 N2-1 116.76417 -26.833447
256 N2-2 116.76327 -26.833473
257 N2-3 116.763678 -26.833282
258 N2-4 116.763276 -26.833077
259 N2-5 116.764163 -26.832925
260 N2-6 116.763638 -26.832798
261 N3-1 116.772075 -26.834809
262 N3-2 116.771593 -26.83484
263 N3-3 116.771126 -26.834604
264 N3-4 116.771804 -26.834475
265 N3-5 116.771229 -26.834161
266 N3-6 116.771844 -26.833952
267 N4-1 116.781446 -26.830865
268 N4-2 116.781116 -26.830539
269 N4-3 116.781684 -26.830432
270 N4-4 116.780908 -26.830143
271 N4-5 116.781665 -26.830027
272 N4-6 116.781216 -26.82971
273 S1-1 116.771164 -26.826392
274 S1-2 116.770781 -26.826089
275 S1-3 116.77035 -26.826018
276 S1-4 116.771199 -26.825994
277 S1-5 116.770906 -26.825556
278 S1-6 116.771346 -26.825471
279 S2-1 116.773174 -26.821491
280 S2-2 116.772431 -26.821396
281 S2-3 116.772867 -26.821199
282 S2-4 116.772209 -26.820927
283 S2-5 116.77326 -26.820834
284 S2-6 116.772918 -26.820519
285 S3-1 116.77076 -26.814775
286 S3-2 116.770369 -26.814329
287 S3-3 116.769748 -26.814245
288 S3-4 116.770925 -26.814188
289 S3-5 116.769966 -26.813881
290 S3-6 116.770482 -26.813775
291 S4-1 116.761496 -26.809236
292 S4-2 116.760895 -26.809156
293 S4-3 116.761839 -26.808955
294 S4-4 116.761292 -26.80875
295 S4-5 116.76152 -26.808414
296 S4-6 116.760876 -26.808398
297 E5-1 116.758733 -26.844019
298 E5-2 116.759376 -26.843695
299 E5-3 116.758696 -26.843629
300 E5-4 116.758209 -26.843492
301 E5-5 116.759099 -26.843252
302 E5-6 116.758764 -26.842901
303 E6-1 116.771776 -26.849821
304 E6-2 116.772239 -26.849668
305 E6-3 116.771697 -26.849249
306 E6-4 116.772387 -26.849135
307 E6-5 116.771239 -26.849052
308 E6-6 116.772116 -26.848801
309 E7-1 116.790655 -26.848719
310 E7-2 116.790986 -26.848453
311 E7-3 116.79026 -26.848505
312 E7-4 116.791433 -26.848403
313 E7-5 116.790637 -26.848026
314 E7-6 116.791036 -26.847843
315 E8-1 116.811683 -26.836388
316 E8-2 116.812284 -26.836178
317 E8-3 116.811179 -26.836101
318 E8-4 116.812144 -26.835751
319 E8-5 116.811687 -26.835706
320 E8-6 116.811129 -26.835634
321 E9-1 116.826079 -26.81029
322 E9-2 116.826504 -26.809972
323 E9-3 116.826045 -26.809788
324 E9-4 116.826879 -26.809624
325 E9-5 116.826498 -26.809402
326 E9-6 116.825966 -26.809401
327 S5-1 116.74912 -26.811598
328 S5-2 116.749037 -26.811109
329 S5-3 116.74976 -26.810899
330 S5-4 116.748587 -26.81086
331 S5-5 116.749309 -26.810794
332 S5-6 116.748829 -26.810536
333 S6-1 116.73692 -26.818549
334 S6-2 116.737522 -26.818558
335 S6-3 116.737222 -26.818276
336 S6-4 116.737714 -26.817976
337 S6-5 116.736736 -26.817943
338 S6-6 116.737271 -26.81776
339 S7-1 116.728668 -26.833803
340 S7-2 116.728128 -26.833498
341 S7-3 116.729078 -26.833431
342 S7-4 116.728672 -26.833194
343 S7-5 116.728951 -26.832882
344 S7-6 116.728198 -26.83282
345 S8-1 116.729639 -26.856153
346 S8-2 116.730078 -26.856129
347 S8-3 116.730502 -26.85579
348 S8-4 116.730118 -26.855581
349 S8-5 116.729681 -26.855455
350 S8-6 116.730024 -26.855109
351 S9-1 116.747885 -26.880805
352 S9-2 116.747333 -26.880622
353 S9-3 116.747872 -26.880351
354 S9-4 116.74723 -26.880215
355 S9-5 116.748383 -26.87998
356 S9-6 116.74749 -26.879883
357 N5-1 116.78507 -26.820212
358 N5-2 116.785559 -26.820116
359 N5-3 116.784815 -26.819857
360 N5-4 116.785276 -26.819712
361 N5-5 116.785861 -26.819489
362 N5-6 116.785213 -26.819332
363 N6-1 116.784279 -26.807158
364 N6-2 116.784952 -26.807135
365 N6-3 116.784525 -26.806781
366 N6-4 116.784082 -26.806752
367 N6-5 116.784983 -26.806708
368 N6-6 116.78461 -26.806306
369 N7-1 116.773939 -26.792909
370 N7-2 116.773506 -26.792729
371 N7-3 116.774417 -26.792805
372 N7-4 116.774659 -26.79247
373 N7-5 116.77423 -26.792325
374 N7-6 116.773821 -26.792195
375 N8-1 116.751513 -26.782976
376 N8-2 116.752352 -26.782669
377 N8-3 116.751288 -26.782609
378 N8-4 116.751784 -26.782449
379 N8-5 116.751397 -26.782231
380 N8-6 116.752122 -26.782098
